x,y
2.2762,2.9991
2.2831,2.9752
2.29,2.9571
2.2969,2.9438
2.3038,2.9332
2.3107,2.9268
2.3176,2.9373
2.3245,2.9685
2.3314,3.0059
2.3383,3.0345
2.3452,3.0759
2.3521,3.1881
2.359,3.2386
2.3659,3.3202
2.3728,3.3788
2.3797,3.4264
2.3866,3.468
2.3935,3.5497
2.4004,3.6957
2.4073,3.7832
2.4142,3.8622
2.4211,3.9556
2.428,4.2498
2.4349,4.2142
2.4418,4.5104
2.4487,4.5538
2.4556,4.6985
2.4625,4.8398
2.4694,4.8826
2.4763,4.959
2.4832,5.0564
2.4901,5.1525
2.497,5.1816
2.5039,5.1943
2.5108,5.2014
2.5177,5.2027
2.5246,5.1995
2.5315,5.1926
2.5384,5.1826
2.5453,5.17
2.5522,5.1515
2.5591,5.1154
2.566,5.0605
2.5729,5.0014
2.5798,4.9467
2.5867,4.8886
2.5936,4.8207
2.6005,4.7549
2.6075,4.5918
2.6144,4.4838
2.6213,4.5357
2.6282,4.4289
2.6351,4.2485
2.642,4.1336
2.6489,3.9295
2.6558,3.7904
2.6627,3.7535
2.6696,3.7116
2.6765,3.5739
2.6834,3.4493
2.6903,3.3753
2.6972,3.2791
2.7041,3.0788
2.711,2.8651
2.7179,2.728
2.7248,2.6109
2.7317,2.4881
2.7386,2.3983
2.7455,2.3335
2.7524,2.2632
2.7593,2.1531
2.7662,2.055
2.7731,2.0199
2.78,1.9974
2.7869,1.9705
2.7938,1.9306
2.8007,1.9155
2.8076,1.9163
2.8145,1.9182
2.8214,1.921
2.8283,1.9251
2.8352,1.9388
2.8421,1.9642
2.849,2.0097
2.8559,2.0862
2.8628,2.145
2.8697,2.2051
2.8766,2.2596
2.8835,2.3066
2.8904,2.3749
2.8973,2.4923
2.9042,2.6588
2.9111,2.7558
2.918,2.9032
2.9249,3.1847
2.9318,3.2841
2.9387,3.4289
2.9456,3.5484
2.9525,3.6393
2.9594,3.8314
2.9663,4.0459
2.9732,4.1756
2.9801,4.2154
2.987,4.276
2.994,4.4046
3.0009,4.5266
3.0078,4.5732
3.0147,4.5938
3.0216,4.6283
3.0285,4.7211
3.0354,4.7285
3.0423,4.7327
3.0492,4.7346
3.0561,4.7335
3.063,4.7071
3.0699,4.6689
3.0768,4.6452
3.0837,4.6321
3.0906,4.6061
3.0975,4.4209
3.1044,4.3881
3.1113,4.3515
3.1182,4.2656
3.1251,4.181
3.132,4.0717
3.1389,3.9081
3.1458,3.8799
3.1527,3.8434
3.1596,3.7292
3.1665,3.6464
3.1734,3.5891
3.1803,3.4013
3.1872,3.3858
3.1941,3.1858
3.201,3.1174
3.2079,3.0275
3.2148,2.8934
3.2217,2.7952
3.2286,2.7479
3.2355,2.7186
3.2424,2.6849
3.2493,2.6429
3.2562,2.6165
3.2631,2.5938
3.27,2.5544
3.2769,2.4845
3.2838,2.4713
3.2907,2.4618
3.2976,2.4556
3.3045,2.4522
3.3114,2.4517
3.3183,2.456
3.3252,2.4665
3.3321,2.4841
3.339,2.5096
3.3459,2.5914
3.3528,2.6462
3.3597,2.6771
3.3666,2.7306
3.3735,2.8581
3.3804,2.9387
3.3874,3.0299
3.3943,3.1622
3.4012,3.3598
3.4081,3.3049
3.415,3.6516
3.4219,3.711
3.4288,3.8598
3.4357,4.0506
3.4426,4.1347
3.4495,4.2623
3.4564,4.3382
3.4633,4.3946
3.4702,4.4417
3.4771,4.4896
3.484,4.5366
3.4909,4.5846
3.4978,4.6476
3.5047,4.6899
3.5116,4.7176
3.5185,4.7191
3.5254,4.7127
3.5323,4.7014
3.5392,4.6858
3.5461,4.6666
3.553,4.623
3.5599,4.5502
3.5668,4.4851
3.5737,4.4375
3.5806,4.36
3.5875,4.2703
3.5944,4.2396
3.6013,4.204
3.6082,4.1178
3.6151,3.9957
3.622,3.8577
3.6289,3.6624
3.6358,3.4985
3.6427,3.4435
3.6496,3.4007
3.6565,3.2836
3.6634,3.0655
3.6703,2.9289
3.6772,2.8227
3.6841,2.7562
3.691,2.7224
3.6979,2.6975
3.7048,2.6565
3.7117,2.4943
3.7186,2.5318
3.7255,2.3603
3.7324,2.258
3.7393,2.1443
3.7462,2.0441
3.7531,1.9996
3.76,1.9539
3.7669,1.915
3.7739,1.8852
3.7808,1.8565
3.7877,1.8303
3.7946,1.8091
3.8015,1.7958
3.8084,1.7925
3.8153,1.7953
3.8222,1.803
3.8291,1.8164
3.836,1.8366
3.8429,1.9865
3.8498,2.2278
3.8567,2.0032
3.8636,2.0178
3.8705,2.1044
3.8774,2.2368
3.8843,2.4556
3.8912,2.6438
3.8981,2.7717
3.905,3.0805
3.9119,3.1892
3.9188,3.2798
3.9257,3.4458
3.9326,3.8004
3.9395,3.9224
3.9464,4.0024
3.9533,4.0621
3.9602,4.1548
3.9671,4.418
3.974,4.5918
3.9809,4.7143
3.9878,4.8111
3.9947,4.8875
4.0016,4.9434
4.0085,4.997
4.0154,5.0436
4.0223,5.0764
4.0292,5.089
4.0361,5.0773
4.043,5.0489
4.0499,5.0151
4.0568,4.9869
4.0637,4.9709
4.0706,4.96
4.0775,4.9453
4.0844,4.918
4.0913,4.8017
4.0982,4.7519
4.1051,4.7141
4.112,4.6576
4.1189,4.587
4.1258,4.5276
4.1327,4.4758
4.1396,4.4303
4.1465,4.3554
4.1534,4.0838
4.1604,4.0181
4.1673,4.0054
4.1742,3.9565
4.1811,3.7239
4.188,3.6347
